sample_id,question_index,question_index_1based,category,primary_cause,cause_confidence,graph_origin_coverage,retrieval_coverage,retrieval_coverage_label,gold_evidence_count,retrieved_gold_count,tool_calls,raw_prompt_count,raw_response_count,question,gold_answer,prediction,case_dir
conv-26,5,6,2,temporal_reasoning_failure,medium,1.0,1.0,full,1,1,3,6,6,When did Melanie run a charity race?,The sunday before 25 May 2023,20 May 2023,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-26/q006
conv-26,11,12,1,active_search_path_failure,high,1.0,0.0,none,2,0,17,10,10,Where did Caroline move from 4 years ago?,Sweden,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-26/q012
conv-26,26,27,2,active_search_path_failure,high,1.0,0.0,none,1,0,12,10,10,"When did Melanie read the book ""nothing is impossible""?",2022,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-26/q027
conv-26,47,48,1,partial_retrieval_then_incomplete_answer,high,1.0,0.5,partial,2,1,8,10,10,Who supports Caroline when she has a negative experience?,"Her mentors, family, and friends",Melanie,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-26/q048
conv-26,48,49,1,partial_retrieval_then_incomplete_answer,high,1.0,0.3333333333333333,partial,3,1,4,6,6,What types of pottery have Melanie and her kids made?,"bowls, cup",pots and a cup with a dog face on it,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-26/q049
conv-26,59,60,3,partial_retrieval_then_incomplete_answer,high,1.0,0.5,partial,2,1,13,8,8,Would Caroline be considered religious?,"Somewhat, but not extremely religious",No,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-26/q060
conv-26,71,72,1,partial_retrieval_then_incomplete_answer,high,1.0,0.5,partial,2,1,11,11,11,What book did Melanie read from Caroline's suggestion?,"""Becoming Nicole""","The book title is not explicitly stated in the available evidence, but it has a book cover with a gold coin on it and is about pursuing dreams.",result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-26/q072
conv-30,3,4,1,partial_retrieval_then_incomplete_answer,high,1.0,0.5,partial,4,2,17,11,11,What do Jon and Gina both have in common?,They lost their jobs and decided to start their own businesses.,Both lost their jobs and both use dance for stress relief.,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-30/q004
conv-30,9,10,1,active_search_path_failure,high,1.0,0.0,none,2,0,18,9,9,Which city have both Jean and John visited?,Rome,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-30/q010
conv-30,31,32,1,active_search_path_failure,high,1.0,0.0,none,2,0,13,8,8,How long did it take for Jon to open his studio?,six months,5 months,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-30/q032
conv-41,8,9,3,active_search_path_failure,high,1.0,0.0,none,1,0,26,10,10,What might John's financial status be?,Middle-class or wealthy,Likely struggling financially,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-41/q009
conv-41,31,32,2,active_search_path_failure,high,1.0,0.0,none,1,0,12,12,12,When did John get his dog Max?,In 2013,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-41/q032
conv-41,41,42,3,active_search_path_failure,high,1.0,0.0,none,1,0,16,11,11,Does John live close to a beach or the mountains?,beach,Insufficient evidence,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-41/q042
conv-41,45,46,3,active_search_path_failure,high,1.0,0.0,none,2,0,23,10,10,Would John be open to moving to another country?,"No, he has goals specifically in the U.S. like joining the military and running for office.",no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-41/q046
conv-41,47,48,1,active_search_path_failure,high,1.0,0.0,none,4,0,13,10,10,What exercises has John done?,"Weight training, Circuit training, Kickboxing, yoga",no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-41/q048
conv-41,53,54,2,execution_or_schema_failure,high,1.0,0.0,none,1,0,0,5,5,When did John help renovate his hometown community center?,2022,ERROR,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-41/q054
conv-42,0,1,3,judge_false_negative_likely,high,1.0,0.0,none,1,0,0,5,5,Is it likely that Nate has friends besides Joanna?,Yesteammates on hisvideo game team.,Yes,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-42/q001
conv-42,4,5,3,active_search_path_failure,high,1.0,0.0,none,1,0,13,12,12,What pets wouldn't cause any discomfort to Joanna?,"Hairless cats or pigs,since they don't have fur, which is one of the main causes of Joanna's allergy.",no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-42/q005
conv-42,12,13,3,partial_retrieval_then_incomplete_answer,high,1.0,0.5,partial,2,1,15,10,10,What underlying condition might Joanna have based on her allergies?,asthma,Lactose intolerance,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-42/q013
conv-42,19,20,1,multi_hop_composition_failure,medium,1.0,1.0,full,2,2,12,10,10,How many times has Joanna found new hiking trails?,twice,3,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-42/q020
conv-42,34,35,1,partial_retrieval_then_incomplete_answer,high,1.0,0.3333333333333333,partial,3,1,6,10,10,What book recommendations has Joanna given to Nate?,"""Little Women"",'A Court of Thorns andRoses'.",finding a fantasy book series to read through,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-42/q035
conv-42,60,61,3,active_search_path_failure,high,1.0,0.0,none,1,0,12,11,11,What Console does Nate own?,"A Nintendo Switch; since the game ""Xenoblade 2"" is made for this console.",no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-42/q061
conv-42,66,67,3,active_search_path_failure,high,1.0,0.0,none,4,0,12,11,11,What alternative career might Nate consider after gaming?,"an animalkeeper at a localzoo and workingwith turtles; as heknows a great dealabout turtles andhow to care for them,and he enjoys it.",screenplay writing / writing,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-42/q067
conv-42,73,74,3,active_search_path_failure,high,1.0,0.0,none,1,0,21,10,10,What state did Joanna visit in summer 2021?,Indiana,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-42/q074
conv-42,87,88,3,active_search_path_failure,high,1.0,0.0,none,1,0,16,10,10,What state did Nate visit?,Florida,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-42/q088
conv-43,5,6,3,active_search_path_failure,high,1.0,0.0,none,1,0,25,10,10,"Based on Tim's collections, what is a shop that he would enjoy visiting in New York city?",House of MinaLima,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-43/q006
conv-43,8,9,3,active_search_path_failure,high,1.0,0.0,none,2,0,17,10,10,Which outdoor gear company likely signed up John for an endorsement deal?,Under Armour,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-43/q009
conv-43,16,17,2,temporal_reasoning_failure,medium,1.0,1.0,full,2,2,13,11,11,After how many weeks did Tim reconnect with the fellow Harry Potter fan from California?,three weeks,4 weeks,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-43/q017
conv-43,19,20,3,partial_retrieval_then_incomplete_answer,high,1.0,0.3333333333333333,partial,3,1,6,6,6,What is a prominent charity organization that John might want to work with and why?,"Good Sports, because they work with Nike, Gatorade, and Under Armour and they aim toprovide youth sports opportunities for kids ages 3-18 in high-need communities.",A local organization that helps disadvantaged kids with sports and school,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-43/q020
conv-43,29,30,1,multi_hop_composition_failure,medium,1.0,1.0,full,2,2,10,11,11,What schools did John play basketball in and how many years was he with his team during high school?,"Middle school, high school, and college and he was with his high school team for 4 years.",John played basketball in middle school and high school. He was with his high school team for four years.,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-43/q030
conv-43,36,37,1,active_search_path_failure,high,1.0,0.0,none,3,0,18,12,12,Who is Tim and John's favorite basketball player?,LeBron James,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-43/q037
conv-43,40,41,2,active_search_path_failure,high,1.0,0.0,none,1,0,15,10,10,Has Tim been to North Carolina and/or Tennesee states in the US?,Yes,No,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-43/q041
conv-43,49,50,1,partial_retrieval_then_incomplete_answer,high,1.0,0.5,partial,2,1,15,11,11,How many times has John injured his ankle?,two times,1,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-43/q050
conv-43,51,52,3,active_search_path_failure,high,1.0,0.0,none,1,0,3,7,7,What kind of yoga for building core strength might John benefit from?,Hatha Yoga,Warrior II pose and a balance/stability pose held for 30-60 seconds,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-43/q052
conv-43,53,54,3,active_search_path_failure,high,1.0,0.0,none,2,0,3,7,7,What other exercises can help John with his basketball performance?,"Sprinting, long-distance running, and boxing.",Strength training and yoga,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-43/q054
conv-43,55,56,2,partial_retrieval_then_incomplete_answer,high,1.0,0.5,partial,2,1,8,10,10,When did John start playing professionally?,"May, 2023",January 2023,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-43/q056
conv-43,66,67,3,active_search_path_failure,high,1.0,0.0,none,2,0,18,11,11,What is a Star Wars book that Tim might enjoy?,Star Wars: Jedi Apprentice by Judy Blundell and David Farland. It is a highly rated and immersive series about his favorite movies.,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-43/q067
conv-43,67,68,3,execution_or_schema_failure,high,1.0,0.0,none,4,0,0,5,5,What would be a good hobby related to his travel dreams for Tim to pick up?,Writing a travel blog.,ERROR,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-43/q068
conv-43,70,71,3,partial_retrieval_then_incomplete_answer,high,1.0,0.6666666666666666,partial,3,2,13,11,11,Which Star Wars-related locations would Tim enjoy during his visit to Ireland?,"Skellig Michael, Malin Head, Loop Head, Ceann Sibéal, and Brow Head because they are Star Wars filming locations.",The Cliffs of Moher,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-43/q071
conv-44,4,5,2,temporal_reasoning_failure,medium,1.0,1.0,full,1,1,6,8,8,When did Audrey make muffins for herself?,The week of April 3rd to 9th,the week before 16 April 2023,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-44/q005
conv-44,5,6,2,temporal_reasoning_failure,medium,1.0,1.0,full,1,1,6,8,8,When did Audrey see a hummingbird?,first week of May 2023,the week before 3 May 2023,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-44/q006
conv-44,19,20,3,active_search_path_failure,high,1.0,0.0,none,2,0,9,11,11,What is an indoor activity that Andrew would enjoy doing while make his dog happy?,cook dog treats,"puzzles, training, hide-and-seek",result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-44/q020
conv-44,20,21,3,active_search_path_failure,high,1.0,0.0,none,2,0,14,10,10,Which meat does Audrey prefer eating more than others?,chicken,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-44/q021
conv-44,28,29,1,execution_or_schema_failure,high,1.0,0.0,none,3,0,0,2,2,What is something that Audrey often dresses up her dogs with?,Hats,ERROR,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-44/q029
conv-44,33,34,3,partial_retrieval_then_incomplete_answer,high,1.0,0.3333333333333333,partial,3,1,25,12,12,What can Andrew potentially do to improve his stress and accomodate his living situation with his dogs?,Change to a hybrid or remote job so he can move away from the city to the suburbs to have a larger living space and be closer to nature.,Find housing near a park or woods; go hiking with his dogs; visit the nearby dog park; take dogs for walks in parks; use training to build a bond; consult an animal behaviorist; get essentials for comfort and entertainment,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-44/q034
conv-44,43,44,3,active_search_path_failure,high,1.0,0.0,none,1,0,31,13,13,Which US state do Audrey and Andrew potentially live in?,Minnesota,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-44/q044
conv-44,44,45,3,partial_retrieval_then_incomplete_answer,high,1.0,0.5,partial,2,1,20,12,12,Which national park could Audrey and Andrew be referring to in their conversations?,Voyageurs National Park,"No specific national park name is mentioned in the conversations. Audrey refers to 'a national park' (D5:8-1, D7:3-1) and Andrew shares a photo from 'a national park' (D26:14-2), but neither names a particular park.",result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-44/q045
conv-44,46,47,2,active_search_path_failure,high,1.0,0.0,none,2,0,14,9,9,"How many pets did Andrew have, as of September 2023?",one,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-44/q047
conv-44,48,49,1,active_search_path_failure,high,1.0,0.0,none,2,0,2,7,7,What does Andrew view his pets as?,Family,friends and confidantes,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-44/q049
conv-44,52,53,3,partial_retrieval_then_incomplete_answer,high,1.0,0.25,partial,4,1,18,11,11,What is something that Andrew could do to make birdwatching hobby to fit in his city schedule?,Install a bird feeder outside where he can see the birds without going outdoors.,Go to nearby parks on weekends for birdwatching,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-44/q053
conv-44,55,56,2,active_search_path_failure,high,1.0,0.0,none,1,0,12,13,13,When did Andrew make his dogs a fun indoor area?,"few days before November 22, 2023",no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-44/q056
conv-44,59,60,2,active_search_path_failure,high,1.0,0.0,none,1,0,18,9,9,"How long has it been since Andrew adopted his first pet, as of November 2023?",4 months,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-44/q060
conv-47,0,1,3,active_search_path_failure,high,1.0,0.0,none,1,0,22,10,10,What are John's suspected health problems?,Obesity,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-47/q001
conv-47,6,7,3,active_search_path_failure,high,1.0,0.0,none,1,0,14,10,10,Does James live in Connecticut?,Likely yes,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-47/q007
conv-47,8,9,1,active_search_path_failure,high,1.0,0.0,none,3,0,22,11,11,How many pets does James have?,Three dogs.,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-47/q009
conv-47,10,11,2,judge_false_negative_likely,high,1.0,1.0,full,1,1,8,8,8,When did James adopt Ned?,first week of April 2022,the week before 12 April 2022,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-47/q011
conv-47,15,16,2,active_search_path_failure,high,1.0,0.0,none,1,0,9,11,11,When did James start playing Civilization VI?,March 2022,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-47/q016
conv-47,17,18,3,active_search_path_failure,high,1.0,0.0,none,1,0,9,12,12,What is the board game where you have to find the imposter that John mentions to James?,Mafia,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-47/q018
conv-47,19,20,3,active_search_path_failure,high,1.0,0.0,none,1,0,13,10,10,Was James feeling lonely before meeting Samantha?,"Most likely yes, because he mentioned that the only creatures that gave him joy are dogs and he was actively trying to date.",no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-47/q020
conv-47,20,21,1,active_search_path_failure,high,1.0,0.0,none,2,0,21,11,11,How many charity tournaments has John organized till date?,two,no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-47/q021
conv-47,31,32,2,gold_annotation_error,high,1.0,1.0,full,2,2,6,9,9,How many days did James plan to spend on his trip in Canada?,19 days,"The conversation does not explicitly state the number of days. It says he leaves 'the day after tomorrow' (conversation time 9 July 2022, so 11 July 2022) and plans to return on July 20.",result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-47/q032
conv-47,32,33,2,active_search_path_failure,high,1.0,0.0,none,1,0,18,10,10,"Where was James at on July 12, 2022?","Toronto, Canada",no information available,result/diagnostics/mragent_main500_judge_wrong_offline_20260721/conv-47/q033
